date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:11	46915/46915	---M--	200	added ('OK')	text/html	etag:%22b743-546cb72b01100%22	http://themes.themebear.co/html-templates/amore/index.html	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/index.html	(from )
20:34:11	451/451	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jul%202017%2019:34:10%20GMT	http://themes.themebear.co/robots.txt		(from )
20:34:12	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%2257e-546cb72b01100%22	http://themes.themebear.co/html-templates/amore/favicon2.ico	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/favicon2.ico	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:12	99961/99961	---M-Z	200	added ('OK')	text/css	etag:%2218679-546cb79d71f00-gzip%22	http://themes.themebear.co/html-templates/amore/vendor/bootstrap/css/bootstrap.min.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/vendor/bootstrap/css/bootstrap.min.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:12	260/260	---MC-	200	added ('OK')	text/css	date:Sun,%2002%20Jul%202017%2019:34:11%20GMT	https://fonts.googleapis.com/css?family=Great+Vibes	D:/My%20Web%20Sites/Matrimonio%20template/fonts.googleapis.com/css9d23.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:12	222/222	---MC-	200	added ('OK')	text/css	date:Sun,%2002%20Jul%202017%2019:34:12%20GMT	https://fonts.googleapis.com/css?family=Lato	D:/My%20Web%20Sites/Matrimonio%20template/fonts.googleapis.com/css5d2a.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:13	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-546cb7d6aa600-gzip%22	http://themes.themebear.co/html-templates/amore/vendor/owl.carousel/assets/owl.carousel.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/vendor/owl.carousel/assets/owl.carousel.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:13	1055/1055	---M-Z	200	added ('OK')	text/css	etag:%2241f-546cb7d6aa600-gzip%22	http://themes.themebear.co/html-templates/amore/vendor/owl.carousel/assets/owl.theme.default.min.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/vendor/owl.carousel/assets/owl.theme.default.min.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:13	68760/68760	---M-Z	200	added ('OK')	text/css	etag:%2210c98-546cb76439800-gzip%22	http://themes.themebear.co/html-templates/amore/vendor/animate.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/vendor/animate.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:14	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%2255e0-546cb79d71f00-gzip%22	http://themes.themebear.co/html-templates/amore/vendor/font-awesome/css/font-awesome.min.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/vendor/font-awesome/css/font-awesome.min.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:14	2379/2379	---M-Z	200	added ('OK')	text/css	etag:%2294b-546cb7d6aa600-gzip%22	http://themes.themebear.co/html-templates/amore/vendor/simplelightbox/dist/simplelightbox.min.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/vendor/simplelightbox/dist/simplelightbox.min.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:14	82208/82208	---M-Z	200	added ('OK')	text/css	etag:%2214120-546cb72b01100-gzip%22	http://themes.themebear.co/html-templates/amore/css/styles.css	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/css/styles.css	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:15	39831/39831	---M--	200	added ('OK')	text/html	etag:%229b97-546cb72b01100%22	http://themes.themebear.co/html-templates/amore/archive.html	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/archive.html	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:20	28267/28267	---M--	200	added ('OK')	image/jpeg	etag:%226e6b-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/about-item-img.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/about-item-img.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:22	38281/38281	---M--	200	added ('OK')	image/jpeg	etag:%229589-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/about-item-img2.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/about-item-img2.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:26	22715/22715	---M--	200	added ('OK')	image/jpeg	etag:%2258bb-545c168095500%22	http://themes.themebear.co/html-templates/amore/img/story-img2.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/story-img2.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:26	75565/75565	---M--	200	added ('OK')	image/jpeg	etag:%221272d-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/home-banner-slide1.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/home-banner-slide1.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:27	46267/46267	---M--	200	added ('OK')	image/jpeg	etag:%22b4bb-545c168095500%22	http://themes.themebear.co/html-templates/amore/img/story-img1.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/story-img1.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:28	75158/75158	---M--	200	added ('OK')	image/jpeg	etag:%2212596-545c168095500%22	http://themes.themebear.co/html-templates/amore/img/testimonials-bg.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/testimonials-bg.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:33	44334/44334	---M--	200	added ('OK')	image/jpeg	etag:%22ad2e-545c168095500%22	http://themes.themebear.co/html-templates/amore/img/story-img3.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/story-img3.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:34	47614/47614	---M--	200	added ('OK')	image/jpeg	etag:%22b9fe-545c168095500%22	http://themes.themebear.co/html-templates/amore/img/special-event-bg.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/special-event-bg.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:36	47137/47137	---M--	200	added ('OK')	image/jpeg	etag:%22b821-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/gallery-img5.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/gallery-img5.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:37	60516/60516	---M--	200	added ('OK')	image/jpeg	etag:%22ec64-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/gallery-img2.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/gallery-img2.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:40	41344/41344	---M--	200	added ('OK')	image/jpeg	etag:%22a180-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/gallery-img8.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/gallery-img8.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:40	25544/25544	---M--	200	added ('OK')	image/jpeg	etag:%2263c8-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/gallery-img1.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/gallery-img1.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:41	19449/19449	---M--	200	added ('OK')	image/png	etag:%224bf9-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/client1.png	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/client1.png	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:41	48005/48005	---M--	200	added ('OK')	image/jpeg	etag:%22bb85-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/gallery-img7.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/gallery-img7.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:42	22231/22231	---M--	200	added ('OK')	text/html	etag:%2256d7-546cb72b01100%22	http://themes.themebear.co/html-templates/amore/single.html	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/single.html	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:43	7540/7540	---M--	200	added ('OK')	image/png	etag:%221d74-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/client4.png	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/client4.png	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:43	19003/19003	---M--	200	added ('OK')	image/png	etag:%224a3b-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/client2.png	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/client2.png	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:43	14619/14619	---M--	200	added ('OK')	image/png	etag:%22391b-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/client3.png	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/client3.png	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:55	86954/86954	---M--	200	added ('OK')	image/jpeg	etag:%22153aa-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/img1-3.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/img1-3.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:34:55	78067/78067	---M--	200	added ('OK')	image/jpeg	etag:%22130f3-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/img2.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/img2.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:35:06	140469/140469	---M--	200	added ('OK')	image/jpeg	etag:%22224b5-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/img7.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/img7.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:35:09	160809/160809	---M--	200	added ('OK')	image/jpeg	etag:%2227429-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/img8.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/img8.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
20:35:14	111773/111773	---M--	200	added ('OK')	image/jpeg	etag:%221b49d-545c16475ce00%22	http://themes.themebear.co/html-templates/amore/img/img10.jpg	D:/My%20Web%20Sites/Matrimonio%20template/themes.themebear.co/html-templates/amore/img/img10.jpg	(from http://themes.themebear.co/html-templates/amore/index.html)
